ProductRelated_Duration,SpecialDay,Weekend,Revenue
0,0,0,0
64,0,0,0
0,0,0,0
2.666666667,0,0,0
627.5,0,1,0
154.2166667,0,0,0
0,0.4,0,0
0,0,1,0
37,0.8,0,0
738,0.4,0,0
395,0,0,0
407.75,0.4,0,0
280.5,0,0,0
98,0,0,0
68,0,0,0
1668.285119,0,0,0
0,0,0,0
334.9666667,0,1,0
32,0,0,0
2981.166667,0,0,0
136.1666667,1,1,0
0,0,0,0
105,0,0,0
15,0.8,0,0
0,0,1,0
156,0,0,0
1135.444444,0,0,0
76,0,0,0
63,0.2,0,0
1582.75,0.4,0,0
35,0,0,0
78,0,1,0
209.5,0,0,0
183.6666667,0,0,0
380.5,0,0,0
2086.242857,0,0,0
388,0,1,0
298,0.8,0,0
63,0.6,0,0
482,0,0,0
4084.393939,0,0,0
22,0.6,0,0
310.1666667,0,0,0
34,0.4,0,0
88,0,0,0
622.25,0.2,0,0
222.4,0,0,0
80,0.2,0,0
800.8333333,0,0,0
0,0.6,0,0
0,0,1,0
265.1666667,0.2,0,0
29,1,1,0
160,0,0,0
135.6666667,0.4,0,0
0,0.2,0,0
0,0.6,0,0
998.7416667,0.2,0,0
104,0.4,0,0
381.6865079,0.6,0,0
169,0.4,0,0
400.8,0,0,0
1553.583333,0,0,0
706.5,0,1,0
0,0,0,0
798.3333333,0.8,0,1
6951.972222,0,0,0
0,0.6,0,0
902,0,0,0
0,0.2,0,0
0,0,0,0
197.3777778,0,0,0
43,0.4,0,0
426.6666667,0,0,0
135,0,0,0
588.3333333,0,0,0
2111.341667,0,0,1
76,0.6,0,0
0,1,1,0
0,0.4,0,0
208,0,1,0
270,0.8,0,0
39.5,0,0,0
375,0,0,0
0,0.8,1,0
0,0,0,0
150,0,0,0
138,0,0,0
337.5,0.4,0,0
620.0333333,0,0,0
168.8461538,0.4,0,0
0,0,1,0
52,0,0,0
649.25,0,0,0
925.3333333,0.6,0,0
33,0.2,0,0
1566.5,0.2,0,0
105,0.6,0,0
50,0.6,0,0
644.2,0,0,0
2635.177778,0.4,0,0
607,1,1,1
415,0.4,0,0
2083.530952,0.8,0,0
281.6666667,0,0,0
27,0,0,0
215,0.8,0,0
162,0,0,0
114,0.8,0,0
5062.213753,0,0,0
253,0.6,0,0
0,0.4,0,0
0,0.8,0,0
436.5,0.2,0,0
1045.833333,0.2,0,0
317.8333333,0,1,0
1146.333333,0.8,0,0
577,0.2,0,0
95,0,0,0
301.5,0,0,0
243,0,0,0
135.5,0.6,0,0
442.3333333,0.8,0,0
41,0,0,0
292.9,0,0,0
0,0,0,0
1238.333333,0.4,0,0
225.4666667,0.4,0,0
1873.216667,0.6,0,0
13,0,0,0
222,0,1,0
214.8333333,0,0,0
0,0,0,0
2017.166667,0.8,0,0
449.0277778,0.6,0,0
158.1666667,0,0,0
303.6666667,0,0,0
25,0,0,0
42,0.4,0,0
1003.416667,0.2,0,0
0,0,0,0
272.5,0.2,0,0
344,0,0,0
0,0,0,0
852,0,0,0
780,0.4,0,0
1038,0,0,0
573,0,0,0
1231.233333,0,0,0
316.6666667,0.8,0,0
873.7365079,0,0,0
0,0.4,0,0
16,0,0,0
615,0.2,0,0
261.75,0,0,0
615.8831169,0,1,0
0,0,1,0
117.5,0.8,1,0
0,0,0,0
0,0,0,0
501.6666667,0.6,0,0
829.1666667,0,1,0
1223,0,1,0
467,0.4,0,0
737.1666667,0.6,0,0
129,0,0,0
63,0,0,0
125,0,0,0
684.3333333,0,0,0
665.4722222,0.8,1,0
487.5,0.8,1,0
437.1666667,0,0,0
55,0.6,0,0
0,0.8,1,0
446.9277778,1,1,0
320.5,0,0,0
666,0,0,0
405.7095238,0,0,0
0,0,0,0
163.25,0.6,0,0
284.25,0,1,0
0,0.6,0,0
0,0,0,0
260,0.8,1,0
279.8571429,0,0,0
927.45,0,0,0
836.8,0,0,0
3283.166739,0,1,0
1868.819697,0,0,1
3008.124108,0,0,0
0,0,0,0
3230.25,0,0,0
319,0,0,0
42,0,0,0
354.3333333,0,1,0
3556.61241,0,0,0
2563.783333,0,0,1
3014.018519,0,0,0
840.2333333,0,0,1
1970.844805,0,1,1
2867,0,1,1
43,0,1,0
284.5,0,0,0
133.5,0,0,0
297.6666667,0,0,0
453.75,0,0,0
1331.75,0,0,1
558.5,0,1,0
145.8333333,0,0,0
731,0,0,0
188,0,0,0
565.3333333,0,0,0
50,0,0,0
591,0,1,0
281,0,0,0
483.8333333,0,0,0
42,0,0,0
1192.386111,0,0,0
198,0,0,0
15,0,0,0
643,0,0,1
23,0,0,0
14,0,0,0
210.5,0,0,0
1529.30467,0,0,0
19,0,1,0
1599.083333,0,0,0
102.5,0,0,0
2337,0,0,1
1883.5,0,0,0
1245.3,0,1,0
1674.583333,0,0,0
132,0,1,0
1434.255128,0,1,0
367.25,0,1,0
148.5,0,0,0
1482.210784,0,1,0
1048.492063,0,1,0
478,0,1,0
980.25,0,0,0
1124.693074,0,0,0
353.1666667,0,0,0
1489.083333,0,0,0
2389.333333,0,1,0
753,0,0,0
688.1666667,0,0,0
811,0,0,0
415.25,0,0,0
908.013456,0,0,1
2753.378571,0,1,0
2452.582143,0,1,0
5188.5,0,0,0
0,0,0,0
57,0,0,0
8,0,1,0
1430.659091,0,0,0
20,0,0,0
1373.75,0,0,0
844.25,0,0,0
188,0,0,0
527.375,0,1,0
0,0,0,0
1916.761905,0,1,1
116.3333333,0,0,0
397,0,0,0
5220.083333,0,1,1
219.3333333,0,0,0
74,0,0,0
1559.6,0,0,0
236.5,0,1,0
348.6666667,0,1,0
0,0,0,0
224.5,0,0,0
601.7666667,0,0,0
75.5,0,1,0
153,0,0,0
197.2,0,1,1
3658.5,0,0,0
1162.5,0,0,0
556.6,0,0,0
41,0,1,0
300.0714286,0,1,1
1626.625433,0,0,0
69.25,0,0,0
1169.1,0,0,0
402,0,0,0
0,0,0,0
3324.333333,0,0,0
3037.499952,0,0,0
59,0,0,0
1059.253472,0,0,0
720,0,0,0
905.4856061,0,0,0
0,0,1,0
603.6666667,0,0,1
328.9166667,0,0,1
778.8166667,0,0,0
851.5595238,0,0,0
0,0,0,0
227.5,0,0,0
528.9,0,1,0
872.8333333,0,1,0
0,0,0,0
835.0666667,0,0,0
82.5,0,0,0
13,0,0,0
9,0,1,0
7,0,0,0
94.5,0,0,0
267.3,0,1,0
3312.5,0,0,0
75,0,1,0
75,0,0,0
1547.5,0,0,0
1276.157071,0,0,0
2631.1,0,0,0
96,0,0,0
1370,0,0,0
97,0,0,0
1380.166667,0,0,0
1483.6,0,0,1
156,0,0,0
240.75,0,0,0
1238.5,0,0,0
2524.719048,0,0,0
54,0,0,0
35,0,0,0
175.9166667,0,1,0
263.6,0,0,0
101.8,0,0,0
0,0,0,0
1042.242857,0,0,0
613.6666667,0,0,0
1588.944444,0,0,0
4105.666667,0,0,0
269.5,0,0,0
1236.2,0,0,0
1384.016667,0,0,0
52,0,0,0
664.75,0,0,0
64,0,0,0
0,0,0,0
326.5,0,0,0
1690.977778,0,0,0
0,0,0,0
178.75,0,0,0
407,0,0,0
1513.566667,0,0,0
832.0909091,0,0,0
250.8333333,0,1,0
565.6666667,0,0,0
194,0,0,0
298,0,1,0
1743.066667,0,0,0
655.9166667,0,0,0
1992.833333,0,0,1
0,0,0,0
308.8635531,0,0,0
2749.666667,0,0,0
0,0,0,0
812,0,0,0
166,0,1,0
65,0,0,0
2450.688095,0,0,0
226.8333333,0,1,0
341,0,0,1
226,0,1,0
3510.879903,0,0,0
6,0,0,0
559.4,0,1,0
1109.883333,0,0,0
239,0,0,0
212.1666667,0,1,0
2820.952419,0,0,0
44,0,0,0
781,0,0,0
175.6666667,0,0,0
397.8846154,0,1,0
770.0285714,0,0,0
1034.975,0,0,1
12,0,0,0
8,0,0,0
399.8,0,0,0
0,0,0,0
2258.430586,0,0,0
254,0,0,0
67,0,0,0
57,0,0,0
240.4166667,0,0,0
551.1666667,0,0,0
1532.2,0,0,1
379.5,0,0,0
548.1857143,0,1,0
1735.301587,0,0,0
103,0,1,0
1406.1,0,0,0
331.4,0,0,0
1759.275703,0,0,0
0,0,0,0
1204.600433,0,0,1
1743.366667,0,0,1
236,0,0,0
427.0833333,0,0,0
909.522619,0,0,0
702.9166667,0,0,0
962.3333333,0,0,0
159,0,0,0
24,0,0,0
1569.625,0,1,1
424.8333333,0,0,0
154.8333333,0,0,0
758.4428571,0,1,0
305.875,0,1,0
62,0,1,0
656.25,0,1,0
617.5,0,0,0
245,0,1,1
20,0,1,0
0,0,1,0
22,0,0,0
872.4,0,1,0
0,0,0,0
1372,0,0,0
139,0,1,0
5042.458059,0,0,1
288.5,0,1,0
0,0,1,0
192,0,0,0
954.6666667,0,0,0
0,0,0,0
429,0,0,0
1546.5,0,1,0
96.46666667,0,0,0
198.8333333,0,1,0
181,0,1,0
208.5,0,1,0
517.4238095,0,0,0
358.0666667,0,0,0
339.25,0,0,0
796,0,0,0
1759.416667,0,1,0
3277,0,0,0
