Administrative,ProductRelated,ProductRelated_Duration,SpecialDay,Weekend,Revenue
0,1,0,0,0,0
0,2,64,0,0,0
0,1,0,0,0,0
0,2,2.666666667,0,0,0
0,10,627.5,0,1,0
0,19,154.2166667,0,0,0
0,1,0,0.4,0,0
1,0,0,0,1,0
0,2,37,0.8,0,0
0,3,738,0.4,0,0
0,3,395,0,0,0
0,16,407.75,0.4,0,0
0,7,280.5,0,0,0
0,6,98,0,0,0
0,2,68,0,0,0
2,23,1668.285119,0,0,0
0,1,0,0,0,0
0,13,334.9666667,0,1,0
0,2,32,0,0,0
0,20,2981.166667,0,0,0
0,8,136.1666667,1,1,0
0,2,0,0,0,0
0,3,105,0,0,0
0,2,15,0.8,0,0
0,1,0,0,1,0
0,5,156,0,0,0
4,32,1135.444444,0,0,0
0,4,76,0,0,0
0,4,63,0.2,0,0
1,45,1582.75,0.4,0,0
0,2,35,0,0,0
0,3,78,0,1,0
0,8,209.5,0,0,0
0,10,183.6666667,0,0,0
0,14,380.5,0,0,0
0,52,2086.242857,0,0,0
0,8,388,0,1,0
2,5,298,0.8,0,0
0,7,63,0.6,0,0
0,9,482,0,0,0
1,46,4084.393939,0,0,0
0,3,22,0.6,0,0
0,15,310.1666667,0,0,0
0,2,34,0.4,0,0
0,4,88,0,0,0
0,22,622.25,0.2,0,0
0,14,222.4,0,0,0
0,3,80,0.2,0,0
0,11,800.8333333,0,0,0
0,1,0,0.6,0,0
0,1,0,0,1,0
0,12,265.1666667,0.2,0,0
0,2,29,1,1,0
0,4,160,0,0,0
0,4,135.6666667,0.4,0,0
0,1,0,0.2,0,0
0,1,0,0.6,0,0
4,36,998.7416667,0.2,0,0
0,4,104,0.4,0,0
2,16,381.6865079,0.6,0,0
0,6,169,0.4,0,0
0,8,400.8,0,0,0
12,42,1553.583333,0,0,0
0,14,706.5,0,1,0
0,1,0,0,0,0
3,27,798.3333333,0.8,0,1
4,90,6951.972222,0,0,0
0,1,0,0.6,0,0
0,18,902,0,0,0
0,1,0,0.2,0,0
0,1,0,0,0,0
0,20,197.3777778,0,0,0
0,2,43,0.4,0,0
0,8,426.6666667,0,0,0
0,3,135,0,0,0
0,16,588.3333333,0,0,0
10,36,2111.341667,0,0,1
0,2,76,0.6,0,0
0,1,0,1,1,0
0,1,0,0.4,0,0
0,7,208,0,1,0
0,4,270,0.8,0,0
0,6,39.5,0,0,0
0,12,375,0,0,0
0,1,0,0.8,1,0
0,1,0,0,0,0
0,7,150,0,0,0
0,3,138,0,0,0
0,7,337.5,0.4,0,0
0,19,620.0333333,0,0,0
2,15,168.8461538,0.4,0,0
0,1,0,0,1,0
0,2,52,0,0,0
0,13,649.25,0,0,0
0,27,925.3333333,0.6,0,0
0,2,33,0.2,0,0
0,6,1566.5,0.2,0,0
0,4,105,0.6,0,0
0,7,50,0.6,0,0
0,16,644.2,0,0,0
3,38,2635.177778,0.4,0,0
4,19,607,1,1,1
0,6,415,0.4,0,0
2,36,2083.530952,0.8,0,0
3,17,281.6666667,0,0,0
0,2,27,0,0,0
0,9,215,0.8,0,0
0,12,162,0,0,0
0,2,114,0.8,0,0
6,128,5062.213753,0,0,0
